bname,cname,no_votes
Ballygall A 1,Conroy,22
Ballygall A 2,Conroy,14
Ballygall A 3,Conroy,23
Ballygall B 1,Conroy,22
Ballygall B 2,Conroy,30
Finglas Nth 1,Conroy,11
Charlestwn 1,Conroy,20
Lanesbro 1,Conroy,13
Lanesbro 2,Conroy,11
Ballygall C 1,Conroy,60
Ballygall C 2,Conroy,55
Ballygall C 3,Conroy,52
Ballygall C/D 1,Conroy,59
Ballygall D 1,Conroy,37
Ballygall D 2,Conroy,35
Ballymun A 1,Conroy,13
Ballymun A 2,Conroy,5
Ballymun A 3,Conroy,14
Ballymun A/B 1,Conroy,6
Ballymun B 1,Conroy,9
Ballymun B 2,Conroy,3
Ballymun B/D 1,Conroy,7
Ballymun D 1,Conroy,5
Ballymun D 2,Conroy,5
Ballymun C1 1,Conroy,1
Ballymun C1 2,Conroy,8
Ballymun C1 3,Conroy,7
Ballymun C1 4,Conroy,7
Ballymun E 1,Conroy,51
Ballymun E 2,Conroy,41
Ballymun C2 1,Conroy,23
Finglas Nth B 1,Conroy,3
Finglas Nth B 2,Conroy,9
Finglas Nth B 3,Conroy,5
Finglas Nth A 1,Conroy,5
Finglas Nth A 2,Conroy,11
Finglas Nth A 3,Conroy,7
Finglas Nth C 1,Conroy,27
Finglas Nth C 2,Conroy,22
Finglas Nth C 3,Conroy,21
Ballymun F/Fing Nth C/Bmun F 1,Conroy,28
Ballymun F 1,Conroy,25
Ballymun F 2,Conroy,22
Finglas Sth A 1,Conroy,9
Finglas Sth A 2,Conroy,13
Finglas Sth A 3,Conroy,12
Cappagh/Ballycoolen 1,Conroy,7
Finglas Sth B 1,Conroy,10
Finglas Sth B 2,Conroy,9
Finglas Sth B 3,Conroy,16
Finglas Sth C 1,Conroy,2
Finglas Sth C 2,Conroy,1
Finglas Sth C 3,Conroy,4
Finglas Sth D 1,Conroy,4
Finglas Sth D 2,Conroy,8
Whitehall A1 1,Conroy,81
Whitehall A1/D1 1,Conroy,53
Whitehall D1 1,Conroy,43
Whitehall A2 1,Conroy,38
Whitehall A2 2,Conroy,48
Whitehall B1 1,Conroy,29
Whitehall B2 2,Conroy,32
Whitehall B2 3,Conroy,17
Whitehall B2 4,Conroy,14
Whitehall B2/C 1,Conroy,32
Whitehll C pt 1,Conroy,21
Airport 3 1,Conroy,29
Turnapin 1,Conroy,22
NorthWood/Santry 1,Conroy,30
Whitehall C pt 1,Conroy,8
Beaumont A 1,Conroy,32
Beaumont A 2,Conroy,22
Beaumont A/WH D2 1,Conroy,20
Whitehall D2 1,Conroy,24
Postal 1,Conroy,6
Ballygall A 1,Croft,4
Ballygall A 2,Croft,1
Ballygall A 3,Croft,6
Ballygall B 1,Croft,1
Ballygall B 2,Croft,4
Finglas Nth 1,Croft,5
Charlestwn 1,Croft,4
Lanesbro 1,Croft,2
Lanesbro 2,Croft,0
Ballygall C 1,Croft,1
Ballygall C 2,Croft,0
Ballygall C 3,Croft,2
Ballygall C/D 1,Croft,2
Ballygall D 1,Croft,1
Ballygall D 2,Croft,5
Ballymun A 1,Croft,1
Ballymun A 2,Croft,0
Ballymun A 3,Croft,1
Ballymun A/B 1,Croft,4
Ballymun B 1,Croft,1
Ballymun B 2,Croft,1
Ballymun B/D 1,Croft,1
Ballymun D 1,Croft,0
Ballymun D 2,Croft,4
Ballymun C1 1,Croft,4
Ballymun C1 2,Croft,1
Ballymun C1 3,Croft,2
Ballymun C1 4,Croft,2
Ballymun E 1,Croft,1
Ballymun E 2,Croft,4
Ballymun C2 1,Croft,3
Finglas Nth B 1,Croft,6
Finglas Nth B 2,Croft,3
Finglas Nth B 3,Croft,1
Finglas Nth A 1,Croft,3
Finglas Nth A 2,Croft,1
Finglas Nth A 3,Croft,0
Finglas Nth C 1,Croft,3
Finglas Nth C 2,Croft,2
Finglas Nth C 3,Croft,3
Ballymun F/Fing Nth C/Bmun F 1,Croft,4
Ballymun F 1,Croft,0
Ballymun F 2,Croft,1
Finglas Sth A 1,Croft,1
Finglas Sth A 2,Croft,1
Finglas Sth A 3,Croft,0
Cappagh/Ballycoolen 1,Croft,2
Finglas Sth B 1,Croft,3
Finglas Sth B 2,Croft,2
Finglas Sth B 3,Croft,0
Finglas Sth C 1,Croft,1
Finglas Sth C 2,Croft,1
Finglas Sth C 3,Croft,0
Finglas Sth D 1,Croft,4
Finglas Sth D 2,Croft,1
Whitehall A1 1,Croft,0
Whitehall A1/D1 1,Croft,3
Whitehall D1 1,Croft,1
Whitehall A2 1,Croft,2
